pub_date,old_link,old_folder,new_folder,post_title,category
2023-12-18,http://blog.schochastics.net/post/using-a-quarto-dashboard-for-github-wrapped/,using-a-quarto-dashboard-for-github-wrapped,2023-12-18_using-a-quarto-dashboard-for-github-wrapped,Using a Quarto Dashboard for GitHub Wrapped,"R, quarto, GitHub"
2023-11-16,http://blog.schochastics.net/post/efficient-row-min-calculation-from-r-to-c/,efficient-row-min-calculation-from-r-to-c,2023-11-16_efficient-row-min-calculation-from-r-to-c,Efficient row min calculation: From R to C,"R, C"
2023-10-01,http://blog.schochastics.net/post/adar-an-accurate-fast-and-whatwg-compliant-url-parser/,adar-an-accurate-fast-and-whatwg-compliant-url-parser,2023-10-01_adar-an-accurate-fast-and-whatwg-compliant-url-parser,"adaR: An accurate, fast and WHATWG-compliant URL parser","R, package"
2023-09-12,http://blog.schochastics.net/post/preprocessing-and-analyzing-web-tracking-data-with-webtrackr/,preprocessing-and-analyzing-web-tracking-data-with-webtrackr,2023-09-12_preprocessing-and-analyzing-web-tracking-data-with-webtrackr,Preprocessing and analyzing web tracking data with webtrackR,"R, package"
2023-07-17,http://blog.schochastics.net/post/create-a-cv-with-quarto/,create-a-cv-with-quarto,2023-07-17_create-a-cv-with-quarto,Create a CV with Quarto,"R, quarto"
2023-06-28,http://blog.schochastics.net/post/fast-creation-of-lfr-benchmark-graphs-in-r/,fast-creation-of-lfr-benchmark-graphs-in-r,2023-06-28_fast-creation-of-lfr-benchmark-graphs-in-r,Fast creation of LFR Benchmark graphs in R,"R, networks"
2023-03-22,http://blog.schochastics.net/post/a-suite-of-tools-to-scrape-and-parse-search-engine-results/,a-suite-of-tools-to-scrape-and-parse-search-engine-results,2023-03-22_a-suite-of-tools-to-scrape-and-parse-search-engine-results,A suite of tools to scrape and parse search engine results,"R, package"
2023-02-16,http://blog.schochastics.net/post/rang-make-ancient-r-code-run-again/,rang-make-ancient-r-code-run-again,2023-02-16_rang-make-ancient-r-code-run-again,rang: make ancient R code run again,"R, package, reproducibility"
2022-11-11,http://blog.schochastics.net/post/rtoot-collecting-and-analyzing-mastodon-data/,rtoot-collecting-and-analyzing-mastodon-data,2022-11-11_rtoot-collecting-and-analyzing-mastodon-data,rtoot: Collecting and Analyzing Mastodon Data,"R, package"
2022-08-27,http://blog.schochastics.net/post/extending-network-analysis-in-r-with-netutils/,extending-network-analysis-in-r-with-netutils,2022-08-27_extending-network-analysis-in-r-with-netutils,Extending network analysis in R with netUtils,"R, package, networks"
2022-07-17,http://blog.schochastics.net/post/academicons-my-first-quarto-extension/,academicons-my-first-quarto-extension,2022-07-17_academicons-my-first-quarto-extension,Academicons: my first quarto extension,"R, quarto, extension"
2021-12-08,http://blog.schochastics.net/post/sketchy-hand-drawn-like-maps-in-r/,sketchy-hand-drawn-like-maps-in-r,2021-12-08_sketchy-hand-drawn-like-maps-in-r,"Sketchy, Hand-drawn-like Maps in R","R, package, visualization"
